PM2.5,PM10,O3,SO2,CO,Wind Speed,Temp
28.0,46.0,17.0,6.0,518.0,11.0,31.0
27.0,45.0,15.0,8.0,534.0,18.0,31.0
28.0,46.0,17.0,6.0,518.0,13.0,31.0
24.0,68.0,17.0,8.0,920.0,17.0,31.0
27.0,45.0,15.0,8.0,534.0,18.0,30.0
24.0,68.0,17.0,8.0,920.0,19.0,31.0
24.0,68.0,17.0,8.0,920.0,11.0,30.0
78.0,115.0,60.0,8.0,527.0,5.0,29.0
96.0,142.0,13.333333333333334,10.0,238.0,14.0,31.0
41.0,101.0,24.0,9.0,840.0,13.0,31.0
41.0,101.0,24.0,9.0,840.0,13.0,31.0
62.0,98.0,13.333333333333334,10.0,243.0,14.0,35.0
112.0,162.0,40.666666666666664,11.0,465.0,14.0,35.0
41.0,101.0,24.0,9.0,840.0,14.0,30.0
41.0,101.0,24.0,9.0,840.0,14.0,31.0
96.0,142.0,13.333333333333334,10.0,238.0,14.0,31.0
41.0,101.0,24.0,9.0,840.0,14.0,31.0
41.0,101.0,24.0,9.0,840.0,14.0,31.0
41.0,101.0,24.0,9.0,840.0,14.0,31.0
59.0,94.0,20.0,11.0,792.0,26.0,31.0
52.0,77.0,19.0,12.0,858.0,27.0,32.0
93.0,139.0,21.0,13.0,919.0,26.0,32.0
51.0,80.0,16.0,9.0,608.0,25.0,31.0
59.0,94.0,20.0,11.0,792.0,25.0,32.0
50.0,128.0,17.0,9.0,240.0,24.0,30.0
51.0,80.0,16.0,9.0,608.0,27.0,31.0
52.0,77.0,19.0,12.0,858.0,28.0,32.0
52.0,77.0,19.0,12.0,858.0,28.0,32.0
50.0,128.0,17.0,9.0,240.0,25.0,30.0
2.0,40.0,13.0,41.0,240.0,4.0,28.0
59.0,94.0,20.0,11.0,792.0,23.0,32.0
18.0,39.0,24.0,5.0,420.0,5.0,28.0
22.0,36.0,8.0,4.0,219.0,6.0,22.0
2.0,41.666666666666664,13.0,41.0,240.0,4.0,22.0
22.0,36.0,8.0,4.0,219.0,6.0,24.0
18.0,39.0,24.0,5.0,420.0,6.0,21.0
22.0,36.0,8.0,4.0,219.0,6.0,30.0
34.0,57.0,18.0,13.0,654.0,5.0,19.0
22.0,36.0,8.0,4.0,219.0,6.0,18.0
2.0,40.0,13.0,41.0,240.0,4.0,27.0
22.0,36.0,8.0,4.0,219.0,8.0,23.0
25.0,40.0,18.0,6.0,557.0,19.0,32.0
25.0,40.0,18.0,6.0,557.0,22.0,32.0
25.0,40.0,18.0,6.0,557.0,21.0,32.0
28.0,46.0,17.0,6.0,518.0,15.0,30.0
25.0,40.0,18.0,6.0,557.0,22.0,32.0
24.0,41.0,15.0,8.0,537.0,16.0,30.0
24.0,41.0,15.0,8.0,537.0,14.0,29.0
24.0,41.0,15.0,8.0,537.0,16.0,32.0
24.0,41.0,15.0,8.0,537.0,14.0,29.0
25.0,40.0,18.0,6.0,557.0,19.0,32.0
24.0,41.0,15.0,8.0,537.0,15.0,32.0
34.0,54.0,23.0,17.0,565.0,25.0,27.0
41.0,65.0,18.0,8.0,263.0,25.0,29.0
37.0,62.0,14.0,9.0,370.0,24.0,29.0
41.0,65.0,18.0,8.0,263.0,22.0,30.0
37.0,62.0,14.0,9.0,370.0,24.0,29.0
34.0,54.0,16.0,14.0,563.0,23.0,27.0
37.0,62.0,14.0,9.0,370.0,22.0,30.0
34.0,54.0,16.0,14.0,563.0,24.0,29.0
34.0,54.0,16.0,14.0,563.0,24.0,28.0
34.0,54.0,16.0,14.0,563.0,25.0,28.0
24.0,64.0,15.0,3.0,160.0,25.0,27.0
36.0,51.0,5.0,16.0,140.0,12.0,30.0
35.0,50.0,5.0,16.0,140.0,12.0,31.0
25.0,34.0,2.0,10.0,103.0,6.0,31.0
36.0,51.0,3.6666666666666665,10.666666666666666,493.3333333333333,9.0,31.0
25.0,34.0,2.0,10.0,103.0,6.0,31.0
26.0,37.0,17.333333333333332,12.0,595.6666666666666,19.0,27.0
8.666666666666666,17.0,9.0,1.0,160.0,19.0,32.0
29.0,38.0,7.0,20.0,240.0,13.0,31.0
35.0,50.0,5.0,16.0,140.0,8.0,31.0
36.0,51.0,13.333333333333334,20.333333333333332,553.3333333333334,15.0,31.0
25.0,34.0,2.0,10.0,103.0,4.0,31.0
26.0,37.0,17.333333333333332,12.0,595.6666666666666,19.0,27.0
52.0,77.0,25.0,14.0,573.0,4.0,27.0
10.0,30.0,4.0,2.0,1280.0,9.0,27.0
10.0,30.0,4.0,2.0,1280.0,6.0,27.0
22.0,40.0,14.0,6.0,716.0,7.0,28.0
19.0,38.0,18.0,12.0,60.0,5.0,27.0
19.0,38.0,18.0,12.0,60.0,4.0,27.0
10.0,30.0,4.0,2.0,1280.0,7.0,27.0
24.0,46.0,36.0,12.0,180.0,8.0,29.0
19.0,38.0,36.0,12.0,180.0,6.0,27.0
22.0,34.0,9.0,13.0,240.0,6.0,27.0
19.0,38.0,18.0,13.0,60.0,3.0,27.0
